postcode,april_application_count,may_application_count,june_application_count
4165,1032,1100,1133
4169,670,706,707
4170,992,1044,1052
4171,758,805,815
4172,326,348,354
4173,325,348,341
4174,160,168,173
4178,786,842,838
4179,548,584,592
4183,114,118,117
4184,141,146,152
4205,99,104,106
4207,1748,1840,1892
4208,746,796,828
4209,1742,1835,1855
4210,817,860,880
4211,2473,2616,2672
4212,1641,1712,1730
4213,1443,1536,1561
4214,2212,2325,2347
4215,2469,2576,2612
4216,1617,1690,1725
4217,2979,3094,3127
4218,2160,2260,2258
4219,26,28,28
4220,2350,2469,2495
4221,1364,1445,1449
4223,858,907,923
4224,353,366,365
4225,502,524,535
4226,1682,1771,1779
4227,1073,1137,1168
4228,311,334,343
4230,24,25,25
4270,146,160,171
4271,14,14,13
4272,399,417,422
4275,180,188,193
4280,487,531,544
4285,516,553,579
4287,30,35,36
4300,1402,1482,1491
4301,469,475,481
4303,51,53,52
4304,295,306,305
4305,1084,1158,1189
4306,875,944,958
4307,34,37,39
4309,80,88,90
4310,174,197,204
4311,214,222,225
4312,63,66,70
4313,64,67,68
4314,46,52,54
4340,106,118,128
4341,273,283,296
4342,68,77,80
4343,294,325,325
4344,90,96,102
4346,32,32,33
4347,33,37,38
4350,3002,3221,3287
4352,812,872,902
4353,13,13,15
4354,25,27,31
4355,70,77,78
4356,166,175,187
4357,66,74,82
4358,67,80,82
4359,42,46,47
4360,23,23,25
4361,99,102,112
4362,107,115,118
4363,23,22,22
4364,15,17,18
4365,13,14,13
4370,564,608,608
4371,25,28,29
4372,7,7,8
4373,34,35,36
4374,16,18,19
4375,9,9,9
4376,16,17,18
4377,20,23,23
4378,31,32,33
4380,297,325,325
4381,23,22,22
4382,36,41,40
4383,10,12,12
4385,51,57,56
4387,53,56,58
4388,17,19,24
4390,347,407,425
4400,33,37,39
4401,115,123,126
4402,13,14,14
4403,46,50,50
4404,33,35,38
4405,461,491,510
4406,86,92,98
4407,24,30,33
4408,41,44,46
4410,56,64,64
4411,29,29,28
4412,21,22,22
4413,202,227,238
4415,56,63,62
4416,30,37,37
4417,29,33,33
4419,31,37,40
4420,57,72,79
4421,58,60,63
4422,40,48,45
4423,19,19,22
4424,8,9,9
4425,9,11,12
4426,6,7,7
4427,18,19,19
4428,34,35,40
4454,32,39,42
4455,289,328,328
4461,5,7,7
4462,6,7,7
4465,37,51,56
4467,7,10,11
4468,13,17,17
4470,77,81,88
4472,40,43,48
4477,22,27,28
4478,28,28,28
4480,29,36,37
4481,6,6,6
4486,48,53,56
4487,120,137,144
4488,14,15,17
4490,50,55,59
4491,6,7,7
4494,12,17,18
4496,18,20,21
4497,28,35,36
4498,11,11,11
4500,1347,1439,1453
4501,151,161,168
4502,168,177,180
4503,920,974,979
4504,422,451,454
4505,571,619,634
4506,454,488,493
4507,439,455,465
4508,311,314,329
4509,902,929,949
4510,935,994,1013
4511,183,194,192
4512,132,139,144
4514,188,202,208
4515,91,96,103
4516,122,134,138
4517,18,19,18
4518,159,173,173
4519,251,273,274
4520,617,658,676
4521,190,204,211
4550,178,192,198
4551,2207,2326,2337
4552,396,414,420
4553,333,348,349
4554,101,111,114
4555,290,309,316
4556,2006,2137,2161
4557,987,1041,1050
4558,1307,1377,1389
4559,283,306,314
4560,1121,1178,1194
4561,403,429,441
4562,577,603,615
4563,415,438,445
4564,578,616,624
4565,600,627,638
4566,796,830,840
4567,1020,1071,1066
4568,155,159,158
4569,69,67,71
4570,1139,1212,1255
4571,35,35,40
4572,249,264,275
4573,1566,1649,1670
4574,61,61,62
4575,1392,1464,1474
4580,95,102,101
4581,93,100,99
4600,25,25,29
4601,39,46,47
4605,91,102,105
4606,58,66,68
4608,33,37,34
4610,381,411,429
4611,6,6,5
4612,7,8,9
4613,22,27,29
4614,25,24,26
4615,148,159,167
4620,12,14,16
4621,34,38,38
4625,73,84,89
4626,55,68,72
4627,12,17,21
4630,46,47,52
4650,553,583,592
4655,1383,1475,1484
4659,65,70,71
4660,171,189,195
4662,9,10,11
4670,1632,1726,1743
4671,73,77,87
4673,12,13,11
4674,24,26,25
4677,158,163,163
4678,8,9,11
4680,930,974,978
4694,6,6,6
4695,14,16,17
4699,15,19,18
4700,604,633,641
4701,683,738,748
4702,590,658,674
4703,598,628,637
4705,11,17,18
4707,9,9,9
4709,6,8,9
4710,77,84,87
4711,29,35,35
4712,8,10,10
4714,22,24,27
4715,112,122,128
4716,13,19,18
4717,51,52,53
4718,38,43,46
4719,35,38,37
4720,364,394,407
4721,82,98,104
4722,45,63,68
4723,39,46,47
4724,28,34,36
4725,41,43,44
4726,6,6,7
4727,9,10,13
4728,8,9,11
4730,108,116,114
4732,7,7,8
4735,35,36,38
4737,143,146,152
4738,25,27,27
4739,7,7,7
4740,1760,1860,1912
4741,123,139,154
4742,20,25,27
4744,82,88,88
4745,24,25,28
4746,10,13,13
4750,71,77,75
4751,64,72,70
4753,70,77,76
4754,38,42,42
4756,14,14,16
4757,13,11,11
4798,17,24,25
4799,23,24,26
4800,380,393,403
4802,749,769,770
4803,20,20,20
4804,24,28,31
4805,208,237,251
4806,64,68,69
4807,268,281,289
4808,20,20,22
4809,32,35,36
4810,925,956,954
4811,220,237,242
4812,609,629,625
4814,1021,1066,1060
4815,220,243,239
4816,177,188,197
4817,546,568,567
4818,543,577,594
4819,134,136,135
4820,164,179,182
4821,48,52,52
4822,18,23,27
4823,19,27,27
4824,38,38,37
4825,248,261,257
4828,8,8,7
4829,8,10,10
4830,11,11,11
4849,45,46,47
4850,339,381,448
4852,200,210,204
4854,146,162,167
4855,27,31,30
4856,14,16,17
4858,38,42,41
4859,9,9,10
4860,281,298,299
4861,30,31,33
4865,201,238,243
4868,532,566,578
4869,406,423,417
4870,3651,3805,3830
4871,266,281,289
4872,147,163,165
4873,326,339,347
4874,75,77,74
4875,61,63,61
4876,18,22,21
4877,531,544,542
4878,509,525,532
4879,785,816,806
4880,387,402,406
4881,264,269,273
4882,102,114,122
4883,309,326,326
4884,91,93,90
4885,125,136,140
4886,19,23,25
4887,37,41,40
4888,69,70,72
4890,20,22,21
4891,27,29,29
4892,18,19,19
4895,99,105,109
5000,3056,3193,3246
5001,19,17,20
5005,8,8,8
5006,559,571,566
5007,445,464,474
5008,423,446,446
5009,329,344,356
5010,173,178,186
5011,384,410,429
5012,256,272,278
5013,375,433,445
5014,347,381,393
5015,291,309,313
5016,181,200,202
5017,51,52,52
5018,89,100,100
5019,214,231,232
5020,66,71,73
5021,210,213,215
5022,514,543,547
5023,417,433,448
5024,411,436,451
5025,265,278,283
5031,633,675,684
5032,366,402,410
5033,354,377,381
5034,535,553,563
5035,294,316,321
5037,318,330,340
5038,459,484,495
5039,464,487,492
5040,57,61,60
5041,415,433,437
5042,350,366,370
5043,388,415,420
5044,385,422,429
5045,664,701,714
5046,245,260,259
5047,194,208,205
5048,431,456,462
5049,317,345,352
5050,154,164,163
5051,420,443,440
5052,180,194,196
5061,664,689,688
5062,538,557,565
5063,743,791,795
5064,392,412,412
5065,530,566,574
5066,473,496,505
5067,1046,1128,1169
5068,437,464,460
5069,575,597,612
5070,531,575,591
5071,10,9,8
5072,400,435,451
5073,439,465,476
5074,410,455,471
5075,278,296,307
5076,248,267,279
5081,380,396,409
5082,568,597,598
5083,222,236,237
5084,349,379,386
5085,559,589,593
5086,423,452,475
5087,344,367,373
5088,150,162,161
5089,154,168,176
5090,136,142,149
5091,180,191,201
5092,413,437,428
5093,191,198,199
5094,172,193,201
5095,627,660,665
5096,330,372,382
5097,283,301,313
5098,231,240,254
5106,69,75,78
5107,328,343,342
5108,583,626,647
5109,329,355,361
5110,189,205,218
5111,14,16,19
5112,256,263,271
5113,154,169,171
5114,419,437,438
5115,120,131,136
5116,138,147,149
5117,64,74,77
5118,484,510,516
5120,119,130,150
5121,49,52,53
5125,427,457,462
5126,142,151,158
5127,137,142,147
5131,44,52,52
5132,15,18,18
5133,8,11,11
5134,17,19,21
5136,22,22,23
5137,24,25,25
5138,20,21,22
5139,7,7,8
5140,13,11,12
5141,21,22,23
5142,29,31,32
5144,20,24,24
5151,14,16,18
5152,279,303,306
5153,236,243,256
5154,130,137,140
5155,135,142,148
5156,31,37,41
5157,103,111,105
5158,589,634,644
5159,727,763,785
5160,230,254,267
5161,202,212,217
5162,609,647,661
5163,210,226,229
5164,30,31,30
5165,150,160,159
5166,29,28,28
5167,139,147,150
5168,133,146,149
5169,369,397,401
5170,37,41,43
5171,331,353,369
5172,194,211,217
5173,330,354,350
5174,69,78,82
5201,70,75,76
5202,30,33,35
5203,40,48,49
5204,100,105,105
5210,68,70,68
5211,450,483,489
5212,81,87,90
5213,57,61,62
5214,202,209,212
5220,20,22,22
5221,13,14,13
5222,38,39,44
5223,191,211,217
5231,42,42,41
5232,12,12,14
5233,50,54,54
5234,37,40,41
5235,84,93,94
5236,8,8,8
5237,11,11,14
5238,85,97,105
5240,19,21,22
5241,75,80,77
5242,51,62,65
5243,33,38,41
5244,164,171,178
5245,181,192,202
5250,114,123,125
5251,439,484,493
5252,150,159,161
5253,329,346,342
5254,52,60,64
5255,281,306,309
5256,22,23,20
5259,17,19,19
5260,33,37,37
5261,11,12,13
5263,20,20,21
5264,50,55,53
5265,9,11,11
5266,15,17,17
5267,40,44,44
5268,49,53,57
5269,5,5,5
5270,12,12,13
5271,184,198,203
5272,19,22,22
