region,date,data_type,values
City of Moonee Valley,2015-12-01,Unemployment rate %,5.2
City of Moonee Valley,2016-03-01,Unemployment rate %,5.1
City of Moonee Valley,2016-06-01,Unemployment rate %,5
City of Moonee Valley,2016-09-01,Unemployment rate %,4.8
City of Moonee Valley,2016-12-01,Unemployment rate %,4.9
City of Moonee Valley,2017-03-01,Unemployment rate %,4.9
City of Moonee Valley,2017-06-01,Unemployment rate %,5.1
City of Moonee Valley,2017-09-01,Unemployment rate %,5.3
City of Moonee Valley,2017-12-01,Unemployment rate %,5.2
City of Moonee Valley,2018-03-01,Unemployment rate %,5.2
City of Moonee Valley,2018-06-01,Unemployment rate %,4.8
City of Moonee Valley,2018-09-01,Unemployment rate %,4.6
City of Moonee Valley,2018-12-01,Unemployment rate %,4.4
City of Moonee Valley,2019-03-01,Unemployment rate %,4.5
City of Moonee Valley,2019-06-01,Unemployment rate %,4.7
City of Moonee Valley,2019-09-01,Unemployment rate %,4.7
City of Moonee Valley,2019-12-01,Unemployment rate %,4.9
City of Moonee Valley,2020-03-01,Unemployment rate %,4.7
Greater Melbourne,2010-12-01,Unemployment rate %,5
Greater Melbourne,2011-03-01,Unemployment rate %,4.9
Greater Melbourne,2011-06-01,Unemployment rate %,4.7
Greater Melbourne,2011-09-01,Unemployment rate %,4.8
Greater Melbourne,2011-12-01,Unemployment rate %,5
Greater Melbourne,2012-03-01,Unemployment rate %,5.2
Greater Melbourne,2012-06-01,Unemployment rate %,5.4
Greater Melbourne,2012-09-01,Unemployment rate %,5.4
Greater Melbourne,2012-12-01,Unemployment rate %,5.4
Greater Melbourne,2013-03-01,Unemployment rate %,5.5
Greater Melbourne,2013-06-01,Unemployment rate %,5.6
Greater Melbourne,2013-09-01,Unemployment rate %,5.7
Greater Melbourne,2013-12-01,Unemployment rate %,6
Greater Melbourne,2014-03-01,Unemployment rate %,6.2
Greater Melbourne,2014-06-01,Unemployment rate %,6.3
Greater Melbourne,2014-09-01,Unemployment rate %,6.5
Greater Melbourne,2014-12-01,Unemployment rate %,6.6
Greater Melbourne,2015-03-01,Unemployment rate %,6.5
Greater Melbourne,2015-06-01,Unemployment rate %,6.4
Greater Melbourne,2015-09-01,Unemployment rate %,6.3
Greater Melbourne,2015-12-01,Unemployment rate %,6.1
Greater Melbourne,2016-03-01,Unemployment rate %,6
Greater Melbourne,2016-06-01,Unemployment rate %,5.9
Greater Melbourne,2016-09-01,Unemployment rate %,5.7
Greater Melbourne,2016-12-01,Unemployment rate %,5.8
Greater Melbourne,2017-03-01,Unemployment rate %,5.8
Greater Melbourne,2017-06-01,Unemployment rate %,6
Greater Melbourne,2017-09-01,Unemployment rate %,6.1
Greater Melbourne,2017-12-01,Unemployment rate %,6
Greater Melbourne,2018-03-01,Unemployment rate %,5.9
Greater Melbourne,2018-06-01,Unemployment rate %,5.6
Greater Melbourne,2018-09-01,Unemployment rate %,5.3
Greater Melbourne,2018-12-01,Unemployment rate %,4.9
Greater Melbourne,2019-03-01,Unemployment rate %,4.7
Greater Melbourne,2019-06-01,Unemployment rate %,4.7
Greater Melbourne,2019-09-01,Unemployment rate %,4.8
Greater Melbourne,2019-12-01,Unemployment rate %,4.9
Greater Melbourne,2020-03-01,Unemployment rate %,5.2
